Framework Process Maps,خرائط عمليات الأطر
GRC Process Map,خريطة عمليات الحوكمة والمخاطر والامتثال
General Process Map,خريطة العمليات العامة
Lifecycle Wheel,عجلة دورة الحياة
Command Centre,مركز القيادة
All frameworks,جميع الأطر
Open flow,افتح المسار
Open,افتح
Open list,افتح القائمة
Create new,إنشاء جديد
steps,خطوات
decisions,قرارات
Overviews — the whole process at a glance,نظرة شاملة — العملية كاملة في لمحة
Framework flows — step-by-step with transactions,مسارات الأطر — خطوة بخطوة مع المعاملات
The full end-to-end GRC flow across all functions,مسار الحوكمة والمخاطر والامتثال الكامل عبر جميع الوظائف
Live 8-stage journey per client,رحلة حية من ٨ مراحل لكل عميل
Firm-wide operational overview,نظرة تشغيلية شاملة للمنشأة
Open Lifecycle wheel,افتح عجلة دورة الحياة
Framework maps,خرائط الأطر
Refresh,تحديث
"Follow the arrows top to bottom. On any step: click the name to open the list, or ＋ to create the transaction. Hover ⚠ for the gate that applies. Dashed arrows are loops / alternate paths.",اتبع الأسهم من الأعلى إلى الأسفل. في أي خطوة: انقر على الاسم لفتح القائمة، أو ＋ لإنشاء المعاملة. مرّر على ⚠ لمعرفة الشرط المطبق. الأسهم المتقطعة تمثل حلقات أو مسارات بديلة.
"Click a name to open the list, ＋ to create. Hover ⚠ for gates. Dashed arrows are loops / alternate paths.",انقر على الاسم لفتح القائمة، و＋ للإنشاء. مرّر على ⚠ لمعرفة الشروط. الأسهم المتقطعة حلقات أو مسارات بديلة.
Client & Engagement,العميل والارتباط
Risk & Assessment,المخاطر والتقييم
"Controls, Policies & Evidence",الضوابط والسياسات والأدلة
Audit & Remediation,التدقيق والمعالجة
Governance & Reporting,الحوكمة والتقارير
Scope & Catalog,النطاق والدليل
Controls & Documents,الضوابط والمستندات
Assess,التقييم
Remediate & Review,المعالجة والمراجعة
Scope,النطاق
Assess & Score,التقييم والتصنيف
Deliverables,المخرجات
Report,التقرير
Third Party & Engagement,الطرف الثالث والارتباط
Controls,الضوابط
Assess & Audit,التقييم والتدقيق
Certify & Notify,الشهادة والإبلاغ
Scope & SoA,النطاق وبيان قابلية التطبيق
Audit,التدقيق
Certify,الشهادة
Analyse,التحليل
Plan & Control,التخطيط والضبط
Exercise,التمرين
Review,المراجعة
Profile,الملف التعريفي
Implement,التنفيذ
Records,السجلات
Controls & DPIA,الضوابط وتقييم الأثر
Rights & Incidents,الحقوق والحوادث
Catalog,الدليل
Programme,البرنامج
Scope Items,عناصر النطاق
Test,الاختبار
Start,البداية
Continuous cycle,دورة مستمرة
Maintained,قيد الاستمرارية
Submitted,تم التقديم
Certified,معتمد
Certified ISMS,نظام أمن معلومات معتمد
Resilient,جاهزية واستمرارية
At target,عند المستوى المستهدف
Compliant,ممتثل
Governed,محوكم
Concluded,مُنجز
Client Profile,ملف العميل
Engagement,الارتباط
Project Plan,خطة المشروع
Asset Inventory,سجل الأصول
Risk Register,سجل المخاطر
Risk Treatment,معالجة المخاطر
Assessments & Gap Analysis,التقييمات وتحليل الفجوات
Controls & Policies,الضوابط والسياسات
Evidence Collection,جمع الأدلة
Audit Plan,خطة التدقيق
Audit Execution,تنفيذ التدقيق
Audit Findings,ملاحظات التدقيق
Remediation,المعالجة
Exceptions & Acceptance,الاستثناءات والقبول
